phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment
train,-0.2249942421913147,20.079999923706055,1.350690484046936,1.5945278406143188,2.1174299716949463,33337,
train,0.43387946486473083,38.35200119018555,1.0530644655227661,0.8478628396987915,3.2213199138641357,30652,
train,0.24993298947811127,48.8120002746582,0.9309793710708618,0.5497877597808838,3.260770082473755,23116,
train,0.12292920798063278,54.03300094604492,0.910393238067627,0.45153534412384033,3.328929901123047,28434,
train,0.0710054412484169,60.13800048828125,0.9592286348342896,0.4009300470352173,4.4386701583862305,28166,
train,-0.29753807187080383,63.45500183105469,0.5232691764831543,0.39996951818466187,4.802579879760742,8030,
train,-0.3536125719547272,66.17900085449219,0.507021427154541,0.4016031324863434,5.00462007522583,5994,
train,-0.39355847239494324,68.64099884033203,0.4766662120819092,0.3950931131839752,4.704100131988525,4885,
train,-0.5437884330749512,71.03099822998047,0.3462802767753601,0.38936328887939453,4.9214701652526855,3405,
train,-0.5543714165687561,74.95800018310547,0.32204851508140564,0.36157894134521484,4.986999988555908,3473,
val,0.34052884578704834,27.92338752746582,1.1547476053237915,1.5171284675598145,1.5211693048477173,4,86.599911221076
val,0.16858303546905518,51.5120964050293,0.8952298760414124,0.6739843487739563,2.918346881866455,14,91.18872128414667
val,-0.06168007105588913,54.032257080078125,0.7174815535545349,0.5765084028244019,2.534274101257324,24,92.71818376774135
val,-0.10687867552042007,63.709678649902344,0.9171826839447021,0.38451504707336426,3.685483932495117,40,91.70762584968783
val,-0.33074021339416504,58.26612854003906,0.43286633491516113,0.41264545917510986,3.288306474685669,52,89.59856229473125
val,-0.5050886869430542,71.16935729980469,0.4321271479129791,0.3964403569698334,5.152217864990234,46,93.47451866813235
val,-0.4420972168445587,75.50403594970703,0.5800231099128723,0.3780410885810852,4.946572780609131,56,92.95181724683482
val,-0.5151593685150146,76.71370697021484,0.4758964478969574,0.3679875433444977,4.90625,66,91.84369470515111
val,-0.6343631148338318,82.66129302978516,0.31516212224960327,0.35715413093566895,5.021169185638428,62,91.73593168047336
val,-0.6245277523994446,80.84677124023438,0.3444819152355194,0.3492034673690796,4.808467864990234,72,90.8329622617098
val (no noise),0.34052884578704834,27.92338752746582,1.1547476053237915,1.5171284675598145,1.5211693048477173,4,86.599911221076
val (no noise),0.16858303546905518,51.5120964050293,0.8952298760414124,0.6739843487739563,2.918346881866455,14,91.18872128414667
val (no noise),-0.06168007105588913,54.032257080078125,0.7174815535545349,0.5765084028244019,2.534274101257324,24,92.71818376774135
val (no noise),-0.10687867552042007,63.709678649902344,0.9171826839447021,0.38451504707336426,3.685483932495117,40,91.70762584968783
val (no noise),-0.33074021339416504,58.26612854003906,0.43286633491516113,0.41264545917510986,3.288306474685669,52,89.59856229473125
val (no noise),-0.5050886869430542,71.16935729980469,0.4321271479129791,0.3964403569698334,5.152217864990234,46,93.47451866813235
val (no noise),-0.4420972168445587,75.50403594970703,0.5800231099128723,0.3780410885810852,4.946572780609131,56,92.95181724683482
val (no noise),-0.5151593685150146,76.71370697021484,0.4758964478969574,0.3679875433444977,4.90625,66,91.84369470515111
val (no noise),-0.6343631148338318,82.66129302978516,0.31516212224960327,0.35715413093566895,5.021169185638428,62,91.73593168047336
val (no noise),-0.6245277523994446,80.84677124023438,0.3444819152355194,0.3492034673690796,4.808467864990234,72,90.8329622617098
