phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,1.2853912115097046,29.094999313354492,2.990339517593384,0.7199159264564514,8.317709922790527,92826,,,,
train,2.2455952167510986,54.38999938964844,1.6306312084197998,0.5729754567146301,5.969870090484619,68303,,,,
train,1.4594752788543701,63.0880012512207,1.3786277770996094,0.4780333936214447,5.833079814910889,63059,,,,
train,1.1795434951782227,67.96600341796875,1.3167462348937988,0.40573710203170776,6.0878801345825195,66876,,,,
train,1.2135080099105835,78.63099670410156,0.9637395739555359,0.2925938069820404,6.549960136413574,52566,,,,
train,0.9332174062728882,78.77999877929688,1.1379798650741577,0.25544679164886475,7.8313798904418945,65239,,,,
train,1.1596094369888306,83.0979995727539,1.0343835353851318,0.2253391444683075,9.363710403442383,72926,,,,
train,1.0482202768325806,86.5999984741211,0.9158840179443359,0.1972067803144455,8.682740211486816,64569,,,,
train,0.5836414694786072,87.1780014038086,0.7834436893463135,0.1880330890417099,8.549139976501465,55587,,,,
train,0.17712919414043427,88.03900146484375,0.6212086081504822,0.18108557164669037,7.961939811706543,45768,,,,
val,3.315293073654175,53.225807189941406,2.665572166442871,0.5546595454216003,8.033266067504883,22,88.63723040673632,0.20442878558517677,0.5699707269668579,0.38174235820770264
val,1.2172596454620361,68.1451644897461,1.1641793251037598,0.492493599653244,4.734879016876221,31,87.43276407657038,0.23634727681388287,0.4624568521976471,0.16361859440803528
val,1.106111764907837,71.67338562011719,1.0797113180160522,0.4188730716705322,4.369959831237793,26,86.93229119739976,0.21334722351114965,0.3080582916736603,0.13490764796733856
val,0.2645741105079651,73.99193572998047,1.5586657524108887,0.26745709776878357,8.387096405029297,98,90.00016871454646,0.2112646192670407,0.2315874844789505,0.09720132499933243
val,0.16000698506832123,81.45161437988281,1.065428614616394,0.23023279011249542,7.4606852531433105,161,90.12181590589665,0.21017188526617936,0.1540530025959015,0.05586423724889755
val,0.27970924973487854,87.09677124023438,1.0626003742218018,0.23009832203388214,8.057459831237793,200,91.90968782648655,0.25254586590070655,0.23024769127368927,0.10189541429281235
val,-0.049919478595256805,87.6008071899414,0.8997277617454529,0.18188467621803284,9.199596405029297,276,93.46444773697222,0.22340428136102577,0.2664465010166168,0.062162525951862335
val,0.29355162382125854,92.64112854003906,0.8808047771453857,0.18172262609004974,7.905241966247559,339,95.33966548158604,0.27285519701060257,0.2665289640426636,0.11697202920913696
val,-0.42242205142974854,92.43951416015625,0.4859725534915924,0.17956823110580444,6.629032135009766,220,97.0259942578551,0.25702360045726064,0.20016224682331085,0.08475536853075027
val,-0.1292904168367386,94.05242156982422,0.7051573991775513,0.1659580022096634,9.717741966247559,307,96.76046731025755,0.21705777266014484,0.2077474147081375,0.12980695068836212
val (no noise),3.29484224319458,53.024192810058594,2.665572166442871,0.5697437524795532,8.033266067504883,301,88.63723040673632,0.20825497862385095,0.41728872060775757,0.22472302615642548
val (no noise),1.1350644826889038,66.73387145996094,1.1641793251037598,0.4935545027256012,4.734879016876221,223,87.43276407657038,0.22050145024151838,0.38727349042892456,0.1482795774936676
val (no noise),1.0621358156204224,71.16935729980469,1.0797113180160522,0.42540064454078674,4.369959831237793,174,86.93229119739976,0.19921906838664838,0.26900583505630493,0.11230256408452988
val (no noise),0.19437181949615479,71.06855010986328,1.5586657524108887,0.28814950585365295,8.387096405029297,461,90.00016871454646,0.2109021828769583,0.2061021625995636,0.08503150939941406
val (no noise),0.18368960916996002,81.3508071899414,1.065428614616394,0.2519247829914093,7.4606852531433105,475,90.12181590589665,0.1959176638768503,0.14015455543994904,0.05504147708415985
val (no noise),0.2668076753616333,86.29032135009766,1.0626003742218018,0.23543311655521393,8.057459831237793,609,91.90968782648655,0.24092793630169573,0.2093602865934372,0.10079264640808105
val (no noise),-0.10245304554700851,84.375,0.8997277617454529,0.19843049347400665,9.199596405029297,698,93.46444773697222,0.2188402274323745,0.23456215858459473,0.06616175174713135
val (no noise),0.13913586735725403,88.1048355102539,0.8808047771453857,0.19296295940876007,7.905241966247559,704,95.33966548158604,0.260095648497121,0.24665319919586182,0.11546587198972702
val (no noise),-0.445649117231369,89.91935729980469,0.4859725534915924,0.19124433398246765,6.629032135009766,536,97.0259942578551,0.24248136386761024,0.19010695815086365,0.08260529488325119
val (no noise),-0.29149067401885986,86.08870697021484,0.7051573991775513,0.19411277770996094,9.717741966247559,809,96.76046731025755,0.2151754107945776,0.16808900237083435,0.11945684254169464
