phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,-0.24089886248111725,20.13599967956543,3.229613780975342,1.3733298778533936,5.6780500411987305,99976,,,,
train,1.1304094791412354,34.77199935913086,2.706207275390625,0.5900667309761047,5.749820232391357,93379,,,,
train,1.649398922920227,57.165000915527344,1.7581700086593628,0.5755652189254761,5.954649925231934,59363,,,,
train,2.0560195446014404,72.10800170898438,1.6238166093826294,0.38563281297683716,5.99213981628418,61323,,,,
train,1.940832495689392,81.92500305175781,1.5018476247787476,0.26852700114250183,5.999949932098389,58490,,,,
train,1.1631665229797363,84.22599792480469,1.2202445268630981,0.23017722368240356,6.0,46583,,,,
train,0.7270982265472412,86.12100219726562,1.073196530342102,0.20783160626888275,6.0,38683,,,,
train,0.6496681571006775,87.26499938964844,1.1552575826644897,0.19703708589076996,6.0,44156,,,,
train,0.3425363302230835,87.87899780273438,1.013871431350708,0.18138672411441803,6.0,39554,,,,
train,0.03745834901928902,87.70700073242188,0.8576499223709106,0.17823730409145355,6.0,30646,,,,
val,-0.41274547576904297,19.052419662475586,3.1877450942993164,0.6093336343765259,6.0,2,56.87138438474091,-0.007478892023434226,0.03957498446106911,0.03957498446106911
val,0.5196219682693481,49.59677505493164,1.7951005697250366,0.41987934708595276,6.0,40,94.90788919302767,0.16148898491743494,0.24820104241371155,0.07291777431964874
val,0.49895814061164856,66.02822875976562,1.465103030204773,0.46273261308670044,6.0,79,93.2681997320046,0.2083043468656061,0.2926424741744995,0.13210508227348328
val,0.7467319965362549,79.53629302978516,1.4977378845214844,0.2720191180706024,6.0,184,95.39793837351574,0.25469770375943496,0.16897031664848328,0.0722234770655632
val,0.605580747127533,89.11289978027344,1.426485300064087,0.21998071670532227,6.0,190,95.90463617143894,0.29730705210492,0.22053778171539307,0.12157130241394043
val,-0.03840409591794014,89.11289978027344,1.0260769128799438,0.20833665132522583,6.0,203,95.924123601603,0.2721351581527473,0.3084179759025574,0.10588184744119644
val,-0.12153618037700653,90.92742156982422,1.0127432346343994,0.18529587984085083,6.0,202,96.88334433727385,0.32294923134885717,0.270236074924469,0.16736412048339844
val,-0.020847801119089127,91.63306427001953,1.1842241287231445,0.1838279813528061,6.0,268,96.89822284678802,0.2658020162712739,0.20458149909973145,0.11196739226579666
val,-0.3435835540294647,85.08064270019531,0.9050306081771851,0.19352930784225464,6.0,223,97.07140444597427,0.2622235745483953,0.20887234807014465,0.07747094333171844
val,-0.3634554147720337,89.91935729980469,0.9222407341003418,0.18312124907970428,6.0,259,97.08917992497096,0.29456032425343553,0.24365198612213135,0.11391440033912659
val (no noise),-0.4306044280529022,18.95161247253418,3.1877450942993164,0.7010661959648132,6.0,38,56.87138438474091,-0.00259408787385336,0.006564897485077381,0.015609651803970337
val (no noise),0.5664023160934448,48.3870964050293,1.7951005697250366,0.4885600805282593,6.0,158,94.90788919302767,0.15281781359817304,0.17180895805358887,0.06365317851305008
val (no noise),0.4160918593406677,62.09677505493164,1.465103030204773,0.5309532284736633,6.0,246,93.2681997320046,0.19224402431574023,0.21127872169017792,0.11235960572957993
val (no noise),0.7044402956962585,75.1008071899414,1.4977378845214844,0.31514444947242737,6.0,441,95.39793837351574,0.22811040222828818,0.13193143904209137,0.061509083956480026
val (no noise),0.3996483087539673,80.74596405029297,1.426485300064087,0.2653583586215973,6.0,496,95.90463617143894,0.2615466699243113,0.1734490990638733,0.10390236228704453
val (no noise),-0.1878662109375,77.82257843017578,1.0260769128799438,0.243860125541687,6.0,489,95.924123601603,0.2363269943901997,0.2333463728427887,0.09521161019802094
val (no noise),-0.2148110568523407,82.96370697021484,1.0127432346343994,0.21875311434268951,6.0,503,96.88334433727385,0.2816480148487143,0.21427038311958313,0.14840762317180634
val (no noise),-0.2822055220603943,79.73789978027344,1.1842241287231445,0.2115039825439453,6.0,571,96.89822284678802,0.22661496451252802,0.15634052455425262,0.0978870615363121
val (no noise),-0.4600416123867035,76.71370697021484,0.9050306081771851,0.21626871824264526,6.0,448,97.07140444597427,0.23691773774877675,0.16201630234718323,0.06752853095531464
val (no noise),-0.4577305018901825,79.83870697021484,0.9222407341003418,0.2213955819606781,6.0,545,97.08917992497096,0.26205705305008115,0.18964922428131104,0.10324407368898392
