phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.5881944894790649,24.70599937438965,3.0569512844085693,0.9749606251716614,7.595099925994873,97000,,,,
train,3.574751853942871,53.60599899291992,1.8215534687042236,0.6254686117172241,5.922719955444336,75254,,,,
train,2.8128933906555176,63.21500015258789,1.7121081352233887,0.5396816730499268,6.378339767456055,75301,,,,
train,2.1936309337615967,67.77799987792969,1.6842128038406372,0.4829290211200714,7.130199909210205,74928,,,,
train,1.518333911895752,68.76599884033203,1.5992512702941895,0.46670085191726685,7.641170024871826,74876,,,,
train,1.2226728200912476,69.48300170898438,1.5527849197387695,0.4489261209964752,9.693599700927734,71660,,,,
train,1.0756556987762451,71.10099792480469,1.5506514310836792,0.44133585691452026,9.053079605102539,78159,,,,
train,1.0952612161636353,72.28500366210938,1.5347167253494263,0.43654099106788635,7.820400238037109,72597,,,,
train,0.9767294526100159,73.49500274658203,1.6270346641540527,0.41181695461273193,8.68058967590332,77643,,,,
train,0.8736553192138672,73.69200134277344,1.6661604642868042,0.40857213735580444,8.744190216064453,79547,,,,
val,2.3444080352783203,38.810482025146484,1.7678147554397583,0.5537950992584229,3.0705645084381104,60,89.94113493948176,0.07565647306715093,0.07892007380723953,0.06375063955783844
val,2.933603286743164,66.33064270019531,1.8411307334899902,0.6123024821281433,6.115927219390869,53,90.44948784443324,0.1386216844200456,0.17634020745754242,0.07480589300394058
val,2.249001979827881,74.79838562011719,1.9603357315063477,0.5234941840171814,7.488911151885986,35,91.46172205049695,0.13977751323948642,0.20431356132030487,0.08474306017160416
val,1.2191312313079834,74.19355010986328,1.5385520458221436,0.4880639612674713,6.28830623626709,61,91.70396452599351,0.12653152714756624,0.21027803421020508,0.0894407108426094
val,-1.7921509742736816,59.07258224487305,1.8574705123901367,0.40202897787094116,8.519153594970703,97,93.31111157382654,0.18599005636438085,0.24684245884418488,0.07781725376844406
val,0.5887682437896729,72.78225708007812,2.0821547508239746,0.45228311419487,9.709677696228027,172,92.33988531410546,0.17240907301387431,0.1519869863986969,0.06403987854719162
val,0.3984353840351105,71.9758071899414,1.3296630382537842,0.4915095567703247,6.74294376373291,156,94.41376304526325,0.140315043189443,0.18079450726509094,0.10145121812820435
val,0.28533974289894104,75.20161437988281,1.9029637575149536,0.432835191488266,8.707661628723145,124,91.8961534902214,0.16380076535398838,0.19082286953926086,0.13159538805484772
val,0.8616977334022522,80.04032135009766,2.0413897037506104,0.4067569971084595,9.647177696228027,212,95.1699524410355,0.1604212849407406,0.16490738093852997,0.1266387552022934
val,1.3619896173477173,79.63710021972656,2.628828525543213,0.4481884837150574,10.939516067504883,117,96.07624886351796,0.18689115793094516,0.15895818173885345,0.10675889998674393
val (no noise),2.368981122970581,38.91128921508789,1.7678147554397583,0.5548754334449768,3.0705645084381104,197,89.94113493948176,0.06867521690458034,0.0756632536649704,0.05924815312027931
val (no noise),3.1488821506500244,67.64112854003906,1.8411307334899902,0.6103418469429016,6.115927219390869,336,90.44948784443324,0.13090994910900364,0.15116280317306519,0.06382395327091217
val (no noise),2.1812074184417725,73.89112854003906,1.9603357315063477,0.5241133570671082,7.488911151885986,341,91.46172205049695,0.13524747230052286,0.1705031543970108,0.07527437061071396
val (no noise),1.3130571842193604,74.59677124023438,1.5385520458221436,0.4887736737728119,6.28830623626709,319,91.70396452599351,0.11922206503246113,0.18569204211235046,0.07665932923555374
val (no noise),-1.762982726097107,57.7620964050293,1.8574705123901367,0.4243167042732239,8.519153594970703,500,93.31111157382654,0.1817096741794758,0.20302292704582214,0.0763818547129631
val (no noise),0.08002790063619614,68.6491928100586,2.0821547508239746,0.46554362773895264,9.709677696228027,691,92.33988531410546,0.16531349040665452,0.11495485156774521,0.06236597150564194
val (no noise),0.43260106444358826,70.26210021972656,1.3296630382537842,0.4968447983264923,6.74294376373291,425,94.41376304526325,0.13197329268349167,0.16214331984519958,0.08788555860519409
val (no noise),0.3598022162914276,75.40322875976562,1.9029637575149536,0.4332576096057892,8.707661628723145,611,91.8961534902214,0.1625002460258643,0.1631421595811844,0.1202031821012497
val (no noise),0.642917811870575,75.90725708007812,2.0413897037506104,0.4248145520687103,9.647177696228027,741,95.1699524410355,0.15349538817557332,0.1302901655435562,0.11278945952653885
val (no noise),-0.24252668023109436,68.6491928100586,2.628828525543213,0.445264607667923,10.939516067504883,735,96.07624886351796,0.16885540238803134,0.09592188894748688,0.09122322499752045
