phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,-0.24089886248111725,20.13599967956543,3.229613780975342,1.3733298778533936,5.6780500411987305,99976,,,,
train,1.1304094791412354,34.77199935913086,2.706207275390625,0.5900667309761047,5.749820232391357,93379,,,,
train,1.649398922920227,57.165000915527344,1.7581700086593628,0.5755652189254761,5.954649925231934,59363,,,,
train,2.0560195446014404,72.10800170898438,1.6238166093826294,0.38563281297683716,5.99213981628418,61323,,,,
train,1.940832495689392,81.92500305175781,1.5018476247787476,0.26852700114250183,5.999949932098389,58490,,,,
train,1.1631665229797363,84.22599792480469,1.2202445268630981,0.23017722368240356,6.0,46583,,,,
train,0.7270982265472412,86.12100219726562,1.073196530342102,0.20783160626888275,6.0,38683,,,,
train,0.6496681571006775,87.26499938964844,1.1552575826644897,0.19703708589076996,6.0,44156,,,,
train,0.3425363302230835,87.87899780273438,1.013871431350708,0.18138672411441803,6.0,39554,,,,
train,0.03745834901928902,87.70700073242188,0.8576499223709106,0.17823730409145355,6.0,30646,,,,
val,-0.41274547576904297,19.052419662475586,3.1877450942993164,0.6093336343765259,6.0,2,56.87138438474091,-0.007478892023434226,0.03957498446106911,0.03957498446106911
val,0.5196219682693481,49.59677505493164,1.7951005697250366,0.41987934708595276,6.0,40,94.90788919302767,0.16148898491743494,0.24820104241371155,0.07291777431964874
val,0.49895814061164856,66.02822875976562,1.465103030204773,0.46273261308670044,6.0,79,93.2681997320046,0.2083043468656061,0.2926424741744995,0.13210508227348328
val,0.7467319965362549,79.53629302978516,1.4977378845214844,0.2720191180706024,6.0,184,95.39793837351574,0.25469770375943496,0.16897031664848328,0.0722234770655632
val,0.605580747127533,89.11289978027344,1.426485300064087,0.21998071670532227,6.0,190,95.90463617143894,0.29730705210492,0.22053778171539307,0.12157130241394043
val,-0.03840409591794014,89.11289978027344,1.0260769128799438,0.20833665132522583,6.0,203,95.924123601603,0.2721351581527473,0.3084179759025574,0.10588184744119644
val,-0.12153618037700653,90.92742156982422,1.0127432346343994,0.18529587984085083,6.0,202,96.88334433727385,0.32294923134885717,0.270236074924469,0.16736412048339844
val,-0.020847801119089127,91.63306427001953,1.1842241287231445,0.1838279813528061,6.0,268,96.89822284678802,0.2658020162712739,0.20458149909973145,0.11196739226579666
val,-0.3435835540294647,85.08064270019531,0.9050306081771851,0.19352930784225464,6.0,223,97.07140444597427,0.2622235745483953,0.20887234807014465,0.07747094333171844
val,-0.3634554147720337,89.91935729980469,0.9222407341003418,0.18312124907970428,6.0,259,97.08917992497096,0.29456032425343553,0.24365198612213135,0.11391440033912659
val (no noise),-0.3826602101325989,19.254032135009766,3.1877450942993164,0.7423205375671387,6.0,44,56.87138438474091,-0.002471356242452828,0.0024823967833071947,0.008889724500477314
val (no noise),0.6016587018966675,47.88306427001953,1.7951005697250366,0.5235071778297424,6.0,177,94.90788919302767,0.147588850968069,0.1588023453950882,0.05939042568206787
val (no noise),0.36221298575401306,58.97177505493164,1.465103030204773,0.5542798638343811,6.0,281,93.2681997320046,0.18529710944188432,0.1980271190404892,0.11119464039802551
val (no noise),0.6546461582183838,73.28629302978516,1.4977378845214844,0.3265823423862457,6.0,487,95.39793837351574,0.21468510273401048,0.12252961099147797,0.05680231750011444
val (no noise),0.34243887662887573,77.5201644897461,1.426485300064087,0.28449389338493347,6.0,550,95.90463617143894,0.24196842374187183,0.16265007853507996,0.1012854352593422
val (no noise),-0.2589442729949951,73.58870697021484,1.0260769128799438,0.261126309633255,6.0,535,95.924123601603,0.2182929717735767,0.21894672513008118,0.09323933720588684
val (no noise),-0.2648003399372101,79.73789978027344,1.0127432346343994,0.22363723814487457,6.0,545,96.88334433727385,0.2604475478114961,0.2036573439836502,0.14446409046649933
val (no noise),-0.369604229927063,75.40322875976562,1.1842241287231445,0.22494222223758698,6.0,627,96.89822284678802,0.20981277937844123,0.14730922877788544,0.09338593482971191
val (no noise),-0.5247942209243774,73.38710021972656,0.9050306081771851,0.2262173444032669,6.0,481,97.07140444597427,0.2241806264725679,0.1516372114419937,0.06511406600475311
val (no noise),-0.5170955657958984,75.50403594970703,0.9222407341003418,0.22755016386508942,6.0,585,97.08917992497096,0.2436127127336,0.18017442524433136,0.10314130038022995
