epoch,max_len,erasure_pr,topographic_rho,pos_dis,bos_dis
1,5,0.0,0.08705816076646736,0.3765408331528306,0.2630304666236043
2,5,0.0,0.14359969688883742,0.44093453139066696,0.29431394860148424
3,5,0.0,0.17320070507266674,0.31508293449878694,0.16843037381768222
4,5,0.0,0.21486323694210804,0.34484265148639676,0.31129750311374665
5,5,0.0,0.23242197347737764,0.3578155994415283,0.19696830362081522
6,5,0.0,0.2327818652203062,0.30735986977815627,0.22682692259550094
7,5,0.0,0.24038603532851174,0.32361835092306135,0.21284237354993815
8,5,0.0,0.24455760307714022,0.2464241191744804,0.21056004464626307
9,5,0.0,0.25535062360140326,0.2037912771105766,0.199109274148941
10,5,0.0,0.24434398660343937,0.1644798323512077,0.17399396151304242
1,2,0.0,0.1616319368724275,0.3450513944029808,0.18464697748422618
2,2,0.0,0.250984967552496,0.45690496563911437,0.27115029096603394
3,2,0.0,0.3092888413537931,0.5532061070203781,0.2824849605560303
4,2,0.0,0.3192021619808793,0.4881723701953888,0.2546929895877838
5,2,0.0,0.34039584685307245,0.48164902329444886,0.2316409692168236
6,2,0.0,0.32649491117380264,0.4423799842596054,0.22177926748991011
7,2,0.0,0.3380190582892181,0.47358477413654326,0.24341525733470912
8,2,0.0,0.3326762099520747,0.44694000780582427,0.22188185676932334
9,2,0.0,0.3367037769409573,0.42048474252223966,0.2241567149758339
10,2,0.0,0.33721486416616053,0.44175578355789186,0.22510470300912858
1,10,0.0,0.13056533091896844,0.2501142999157309,0.1494588862173259
2,10,0.0,0.21095764745572887,0.43233123421669006,0.3215078070759773
3,10,0.0,0.22194935110210695,0.3760677307844162,0.24835171401500702
4,10,0.0,0.23526950342422764,0.43415932059288026,0.2739202916622162
5,10,0.0,0.24746117968600828,0.3984743803739548,0.1984073385596275
6,10,0.0,0.2331423462440881,0.426980035007,0.212189906835556
7,10,0.0,0.23422733608477433,0.36692925691604616,0.205765950679779
8,10,0.0,0.24916217440888971,0.3361344993114471,0.14779510200023646
9,10,0.0,0.2434230358433612,0.3382977247238159,0.19788575172424316
10,10,0.0,0.24423411339377177,0.3165862992405891,0.1464691489934921
1,5,0.05,0.09322222568024548,0.2536345101892948,0.16187090682797134
2,5,0.05,0.15124439590337876,0.3041210699826479,0.15843445379286997
3,5,0.05,0.20081629028182402,0.33851233422756194,0.2182562872767448
4,5,0.05,0.1916978871961076,0.28376840353012084,0.13662237673997873
5,5,0.05,0.1972955245958022,0.27006322443485253,0.14962545484304424
6,5,0.05,0.20590110037594486,0.3109625786542892,0.1315203785896301
7,5,0.05,0.21852882930419426,0.2803011298179626,0.14093419462442394
8,5,0.05,0.20558765679220511,0.2699585944414139,0.12827011719346043
9,5,0.05,0.22880187455331455,0.2479105025529861,0.12994679957628247
10,5,0.05,0.23212911510330403,0.22349039912223811,0.12986648827791208
1,2,0.05,0.14502963215279865,0.26896806452423333,0.14384797215461725
