phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,-0.2938171923160553,19.84000015258789,3.5539450645446777,1.0714020729064941,9.82509994506836,100000,,,,
train,1.8314414024353027,28.660999298095703,3.1686336994171143,0.3929457366466522,9.63167953491211,99902,,,,
train,2.7355315685272217,38.43199920654297,3.0799560546875,0.3339860439300537,8.738360404968262,99996,,,,
train,2.266610860824585,56.125,1.7367527484893799,0.5568565130233765,5.071969985961914,71897,,,,
train,-0.15154141187667847,65.25800323486328,0.21825748682022095,0.5139201283454895,4.049459934234619,8810,,,,
train,0.06995340436697006,68.98400115966797,0.36565375328063965,0.45692548155784607,5.699850082397461,18827,,,,
train,-0.4089599549770355,67.99600219726562,0.18350987136363983,0.4216662049293518,4.889939785003662,7369,,,,
train,-0.37196144461631775,73.11199951171875,0.20410315692424774,0.3790625035762787,4.007359981536865,7726,,,,
train,-0.4030936658382416,73.70500183105469,0.17977826297283173,0.3448368012905121,4.773630142211914,7065,,,,
train,-0.5684512853622437,75.22599792480469,0.1555379331111908,0.3158060610294342,5.377649784088135,4284,,,,
val,-0.3412928879261017,19.657258987426758,3.5466599464416504,0.41211825609207153,11.0,6,62.39802299808761,0.124008793700023,0.02792622707784176,0.02496403455734253
val,1.4966949224472046,37.70161437988281,2.847895622253418,0.281303346157074,11.0,4,94.80230177493982,0.2065321598937797,0.7632177472114563,0.720630407333374
val,2.586623191833496,47.07661437988281,2.987722873687744,0.5659953951835632,5.958669185638428,26,96.27845349660525,0.21524488755031826,0.6033433675765991,0.4315917193889618
val,-0.5151349902153015,65.32257843017578,0.1304369419813156,0.5560519099235535,3.639112949371338,10,97.78633420962584,0.25440908927884487,0.5945668816566467,0.5591062307357788
val,-0.22764332592487335,68.95161437988281,0.41271811723709106,0.5178874731063843,3.8497984409332275,29,97.51636224149154,0.1513328774026521,0.4894821047782898,0.35086145997047424
val,-0.5682218074798584,62.5,0.14052869379520416,0.47702714800834656,6.503024101257324,16,97.12063509284646,0.2141537661103632,0.6867291331291199,0.3818744719028473
val,-0.6346752047538757,74.3951644897461,0.1580834537744522,0.41912367939949036,4.560483932495117,28,97.08594644433606,0.18358417693154697,0.5635159611701965,0.3274844288825989
val,-0.2813226282596588,75.50403594970703,0.36282387375831604,0.34212586283683777,5.068548202514648,46,96.10190321115726,0.18431037442091686,0.3634064495563507,0.24047765135765076
val,-0.6712925434112549,80.84677124023438,0.13516943156719208,0.387685090303421,4.13205623626709,29,96.09305717479198,0.18757991955262632,0.2779406011104584,0.2771144211292267
val,-0.7175421714782715,79.83870697021484,0.11709073185920715,0.31405895948410034,5.311491966247559,44,95.84885849423544,0.22679153158412863,0.5362647771835327,0.19572381675243378
