phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.21148177981376648,23.865999221801758,3.080683469772339,0.812311589717865,5.734379768371582,96814,,,,
train,1.5203605890274048,49.23099899291992,1.8960950374603271,0.5907172560691833,5.968850135803223,59978,,,,
train,1.1653597354888916,62.37300109863281,1.472759485244751,0.5172886252403259,5.998219966888428,48135,,,,
train,0.7251816987991333,67.39399719238281,1.272490382194519,0.4622292220592499,5.999899864196777,39682,,,,
train,0.30115777254104614,70.28700256347656,1.0020729303359985,0.42710039019584656,6.0,30970,,,,
train,0.22556822001934052,72.7760009765625,1.015660285949707,0.3789684474468231,6.0,33809,,,,
train,-0.06025120988488197,72.66799926757812,1.018520474433899,0.3590135872364044,6.0,34887,,,,
train,-0.20197471976280212,75.28600311279297,0.8054838180541992,0.31905612349510193,6.0,26768,,,,
train,-0.2991836667060852,78.75399780273438,0.7355605959892273,0.2843751907348633,6.0,22034,,,,
train,-0.30437710881233215,83.49600219726562,0.5749170780181885,0.2354765683412552,6.0,16697,,,,
val,0.6091095805168152,39.1129035949707,2.3134725093841553,0.3725244402885437,6.0,15,93.64406090627597,0.15308984376772605,0.5629603862762451,0.37358421087265015
val,0.888186514377594,60.9879035949707,1.5807522535324097,0.5408379435539246,6.0,22,93.87318502673375,0.19033121260471667,0.51939857006073,0.36539357900619507
val,0.28532564640045166,71.57257843017578,1.1643447875976562,0.5204721689224243,6.0,16,95.07529947861975,0.22994855983318643,0.6065448522567749,0.3535033166408539
val,-0.22162273526191711,72.07661437988281,0.7064400315284729,0.43995174765586853,6.0,23,95.0759491343179,0.18179425500525367,0.4583643972873688,0.24705582857131958
val,0.0709092989563942,79.43548583984375,1.0310804843902588,0.4167364537715912,6.0,25,96.01424467812375,0.18427187041914267,0.46617135405540466,0.36591413617134094
val,-0.3010868430137634,76.10887145996094,0.9411808252334595,0.36177074909210205,6.0,23,96.10975883146973,0.2284966313034261,0.5186833739280701,0.2974461317062378
val,-0.418686181306839,79.73789978027344,0.8115653395652771,0.3080373704433441,6.0,25,94.60500177576992,0.21562028187287055,0.5414336919784546,0.2433549016714096
val,-0.4509553909301758,75.80644989013672,0.7040594816207886,0.34356415271759033,6.0,32,95.69911769586038,0.2107554756097256,0.4818447530269623,0.264621764421463
val,-0.5161250829696655,84.77822875976562,0.63966965675354,0.26077792048454285,6.0,42,94.22487050194928,0.24920798400717978,0.45242756605148315,0.2646973729133606
val,-0.6030360460281372,86.99596405029297,0.5450631380081177,0.197809100151062,6.0,42,94.91023071042693,0.25223827576375774,0.2776852250099182,0.18529464304447174
val (no noise),0.6197536587715149,39.314517974853516,2.3134725093841553,0.39628109335899353,6.0,95,93.64406090627597,0.1463165852354248,0.40133458375930786,0.2508525550365448
val (no noise),0.8881039619445801,60.48387145996094,1.5807522535324097,0.5549638867378235,6.0,127,93.87318502673375,0.17739943323735496,0.3867725729942322,0.28675082325935364
val (no noise),0.12233275175094604,65.5241928100586,1.1643447875976562,0.5112030506134033,6.0,122,95.07529947861975,0.21571645355114522,0.44424867630004883,0.2511304020881653
val (no noise),-0.2107379287481308,64.11289978027344,0.7064400315284729,0.42603084444999695,6.0,123,95.0759491343179,0.16003362446139424,0.32430845499038696,0.18922695517539978
val (no noise),-0.00925380177795887,71.57257843017578,1.0310804843902588,0.4181860685348511,6.0,164,96.01424467812375,0.17202463487575018,0.3547396957874298,0.2897602915763855
val (no noise),-0.3561440110206604,69.15322875976562,0.9411808252334595,0.35661184787750244,6.0,143,96.10975883146973,0.21145768006404503,0.3968220055103302,0.23786602914333344
val (no noise),-0.44452136754989624,74.29435729980469,0.8115653395652771,0.31358885765075684,6.0,132,94.60500177576992,0.19404761045397945,0.4107794165611267,0.20424328744411469
val (no noise),-0.44991788268089294,67.03629302978516,0.7040594816207886,0.3252136707305908,6.0,179,95.69911769586038,0.1882697620000937,0.3649684488773346,0.2066756933927536
val (no noise),-0.5287654995918274,80.34274291992188,0.63966965675354,0.26656031608581543,6.0,191,94.22487050194928,0.23534328524654383,0.3598308563232422,0.22546415030956268
val (no noise),-0.5991990566253662,82.15725708007812,0.5450631380081177,0.20229671895503998,6.0,202,94.91023071042693,0.23616133870921885,0.22501730918884277,0.1667647361755371
